ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-DD-A1EC-01	-285.49	1990.28	1704.79
TCGA-DD-A1ED-01	-197.29	546.05	348.76
TCGA-DD-A1EE-01	-1123.61	-648.59	-1772.2
TCGA-DD-A1EF-01	-744.31	63.8	-680.51
TCGA-DD-A1EG-01	-147.2	835.08	687.87
TCGA-DD-A1EH-01	-553.22	-593.13	-1146.35
TCGA-DD-A1EI-01	-81.81	-66.19	-147.99
TCGA-DD-A1EJ-01	-1175.16	-184.32	-1359.48
TCGA-DD-A1EK-01	-430.18	244.28	-185.91
TCGA-DD-A1EL-01	-1465.03	-268.3	-1733.33
TCGA-DD-A39V-01	-569.31	859.83	290.52
TCGA-DD-A39W-01	-1078.41	-508.82	-1587.23
TCGA-DD-A39X-01	-586.6	20.95	-565.65
TCGA-DD-A39Y-01	-1343.57	-457.29	-1800.86
TCGA-DD-A39Z-01	-1528.91	-649.2	-2178.11
TCGA-DD-A3A1-01	-1244.43	352.63	-891.79
TCGA-DD-A3A2-01	-678.81	-352.33	-1031.14
TCGA-DD-A3A3-01	-1542.93	-208.27	-1751.2
TCGA-DD-A3A4-01	-959.04	-853.1	-1812.14
TCGA-DD-A3A5-01	-790.49	-311.8	-1102.29
TCGA-DD-A3A6-01	597.51	791.33	1388.84
TCGA-DD-A3A7-01	-1299.52	-212.19	-1511.71
TCGA-DD-A3A8-01	-1196.23	-613.44	-1809.68
TCGA-DD-A3A9-01	-175.44	318.78	143.33
TCGA-DD-A4NA-01	-438.52	109.39	-329.13
TCGA-DD-A4NB-01	946.19	281.33	1227.52
TCGA-DD-A4ND-01	575.3	541.13	1116.43
TCGA-DD-A4NE-01	-795.43	-597.05	-1392.48
TCGA-DD-A4NF-01	-926.32	-786.41	-1712.73
TCGA-DD-A4NG-01	-920.04	-79.19	-999.23
TCGA-DD-A4NH-01	-715.33	409.75	-305.57
TCGA-DD-A4NI-01	-188.44	445.41	256.97
TCGA-DD-A4NJ-01	-248.04	361.78	113.74
TCGA-DD-A4NK-01	-747.03	-540.25	-1287.29
TCGA-DD-A4NL-01	-268.75	-111.58	-380.33
TCGA-DD-A4NN-01	-949.02	-831.75	-1780.77
TCGA-DD-A4NO-01	-424.72	-339.6	-764.32
TCGA-DD-A4NP-01	-803.7	-298.01	-1101.71
TCGA-DD-A4NQ-01	-1089.01	101.76	-987.25
TCGA-DD-A4NR-01	54	1836.16	1890.16
TCGA-DD-A4NS-01	526.88	581.45	1108.33
TCGA-DD-A4NV-01	-232.06	-257.35	-489.42
TCGA-DD-A73A-01	-1022.13	270.71	-751.42
TCGA-DD-A73B-01	-1232.87	-725.32	-1958.19
TCGA-DD-A73C-01	-223.43	-303.44	-526.87
TCGA-DD-A73D-01	-1626.22	-962.42	-2588.65
TCGA-DD-A73E-01	-1239.67	-1115.43	-2355.1
TCGA-DD-A73F-01	-255.87	1296.68	1040.82
TCGA-DD-A73G-01	-831.23	100.89	-730.34
TCGA-DD-AA3A-01	-1642.35	-439.6	-2081.95
TCGA-DD-AAC8-01	-1073.16	-36.7	-1109.86
TCGA-DD-AAC9-01	38.72	507.01	545.73
TCGA-DD-AACA-01	-1151.35	-606.2	-1757.55
TCGA-DD-AACA-02	-1525.94	-962.97	-2488.91
TCGA-DD-AACB-01	-857.09	897.14	40.05
TCGA-DD-AACC-01	-5.4	2311.6	2306.2
TCGA-DD-AACD-01	-554.12	490.73	-63.39
TCGA-DD-AACE-01	-764.94	-461.16	-1226.1
TCGA-DD-AACF-01	-1132.7	185.99	-946.7
TCGA-DD-AACG-01	-1370.95	188.65	-1182.3
TCGA-DD-AACH-01	-853.43	-130.89	-984.32
TCGA-DD-AACI-01	-367.06	1415.59	1048.52
TCGA-DD-AACJ-01	-1389.37	-445.52	-1834.89
TCGA-DD-AACK-01	-1153.34	-357.97	-1511.31
